indice_tiempo,tipo_alojamiento,turistas
2023-10-01,Hotel o similar hasta 3 estrellas,1193952
2023-10-01,Hotel similar 4 o 5 estrellas,206806
2023-10-01,Resto,98205
2023-10-01,Segunda vivienda del hogar,1646359
2023-10-01,Vivienda alquilada por temporada,583653
2023-10-01,Vivienda de familiares y amigos,1801757
2024-01-01,Camping,389544
2024-01-01,Hotel o similar hasta 3 estrellas,1883482
2024-01-01,Hotel similar 4 o 5 estrellas,251246
2024-01-01,Resto,144858
2024-01-01,Segunda vivienda del hogar,1769128
2024-01-01,Vivienda alquilada por temporada,2762078
2024-01-01,Vivienda de familiares y amigos,2843586
2024-04-01,Camping,70693
2024-04-01,Hotel o similar hasta 3 estrellas,756114
2024-04-01,Hotel similar 4 o 5 estrellas,207200
2024-04-01,Resto,71998
2024-04-01,Segunda vivienda del hogar,893341
2024-04-01,Vivienda alquilada por temporada,767259
2024-04-01,Vivienda de familiares y amigos,1298028
