indice_tiempo,region_destino,gasto_pesos_corrientes
2023-04-01,Patagonia,19617078816
2023-07-01,CABA,19040495943
2023-07-01,Cuyo,28074396360
2023-07-01,Córdoba,45445849441
2023-07-01,Litoral,43440292455
2023-07-01,Norte,42538698122
2023-07-01,PBA - Partidos del GBA,1107176279
2023-07-01,PBA - Resto,66042279616
2023-07-01,Patagonia,57976319501
2023-10-01,CABA,38396685405
2023-10-01,Cuyo,73070854675
2023-10-01,Córdoba,43765216254
2023-10-01,Litoral,54392852302
2023-10-01,Norte,30282461989
2023-10-01,PBA - Partidos del GBA,14910319576
2023-10-01,PBA - Resto,132987526972
2023-10-01,Patagonia,74353253764
2024-01-01,CABA,13413198028
2024-01-01,Cuyo,38626686409
2024-01-01,Córdoba,112461800899
2024-01-01,Litoral,76175325857
2024-01-01,Norte,74214308860
2024-01-01,PBA - Partidos del GBA,4600331514
2024-01-01,PBA - Resto,394162415667
2024-01-01,Patagonia,91363884857
2024-04-01,CABA,31495949208
2024-04-01,Cuyo,41428844173
2024-04-01,Córdoba,43599494532
2024-04-01,Litoral,63327153607
2024-04-01,Norte,51912196447
2024-04-01,PBA - Partidos del GBA,4883354404
2024-04-01,PBA - Resto,115871730128
2024-04-01,Patagonia,36230181044
