indice_tiempo,localidad,origen_pernoctes,pernoctes,observaciones
2019-09-01,La Rioja,Total,11582,""
2019-09-01,La Rioja,Residentes,11249,""
2019-09-01,La Rioja,No residentes,333,""
2019-09-01,Las Grutas,Total,4853,""
2019-09-01,Las Grutas,Residentes,4776,""
2019-09-01,Las Grutas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-09-01,Malargue-Las Leñas,Total,6734,""
2019-09-01,Malargue-Las Leñas,Residentes,6429,""
2019-09-01,Malargue-Las Leñas,No residentes,305,""
2019-09-01,Mar Chiquita,Total,9129,""
2019-09-01,Mar Chiquita,Residentes,9129,""
2019-09-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-09-01,Mar del Plata,Total,197808,""
2019-09-01,Mar del Plata,Residentes,195865,""
2019-09-01,Mar del Plata,No residentes,1943,""
2019-09-01,Mendoza,Total,136195,""
2019-09-01,Mendoza,Residentes,78226,""
2019-09-01,Mendoza,No residentes,57969,""
2019-09-01,Merlo,Total,41877,""
2019-09-01,Merlo,Residentes,41819,""
2019-09-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-09-01,Mina Clavero,Total,9127,""
2019-09-01,Mina Clavero,Residentes,9123,""
2019-09-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-09-01,Neuquén,Total,38649,""
2019-09-01,Neuquén,Residentes,35039,""
2019-09-01,Neuquén,No residentes,3610,""
2019-09-01,Paraná,Total,15305,""
2019-09-01,Paraná,Residentes,14913,""
2019-09-01,Paraná,No residentes,392,""
2019-09-01,Pinamar,Total,30104,""
2019-09-01,Pinamar,Residentes,30072,""
2019-09-01,Pinamar,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-09-01,Posadas,Total,31177,""
2019-09-01,Posadas,Residentes,24993,""
2019-09-01,Posadas,No residentes,6184,""
2019-09-01,Puerto Iguazú,Total,120298,""
2019-09-01,Puerto Iguazú,Residentes,87554,""
2019-09-01,Puerto Iguazú,No residentes,32744,""
2019-09-01,Puerto Madryn,Total,53076,""
2019-09-01,Puerto Madryn,Residentes,47533,""
2019-09-01,Puerto Madryn,No residentes,5543,""
2019-09-01,Rafaela,Total,9142,""
2019-09-01,Rafaela,Residentes,8763,""
2019-09-01,Rafaela,No residentes,379,""
2019-09-01,Resistencia,Total,23796,""
2019-09-01,Resistencia,Residentes,22553,""
2019-09-01,Resistencia,No residentes,1243,""
2019-09-01,Rio Gallegos,Total,11813,""
2019-09-01,Rio Gallegos,Residentes,10929,""
2019-09-01,Rio Gallegos,No residentes,884,""
2019-09-01,Rosario,Total,77218,""
2019-09-01,Rosario,Residentes,64808,""
2019-09-01,Rosario,No residentes,12410,""
2019-09-01,Río Cuarto,Total,16892,""
2019-09-01,Río Cuarto,Residentes,16487,""
2019-09-01,Río Cuarto,No residentes,405,""
2019-09-01,Salta,Total,137549,""
2019-09-01,Salta,Residentes,121523,""
2019-09-01,Salta,No residentes,16026,""
2019-09-01,San Juan,Total,26216,""
2019-09-01,San Juan,Residentes,24021,""
2019-09-01,San Juan,No residentes,2195,""
2019-09-01,San Luis,Total,20850,""
2019-09-01,San Luis,Residentes,19913,""
2019-09-01,San Luis,No residentes,937,""
2019-09-01,San Martín de los Andes,Total,52251,""
2019-09-01,San Martín de los Andes,Residentes,35582,""
2019-09-01,San Martín de los Andes,No residentes,16669,""
2019-09-01,San Rafael,Total,22280,""
2019-09-01,San Rafael,Residentes,21780,""
2019-09-01,San Rafael,No residentes,500,""
2019-09-01,Santa Fe,Total,23947,""
2019-09-01,Santa Fe,Residentes,22484,""
2019-09-01,Santa Fe,No residentes,1463,""
2019-09-01,Santa Rosa,Total,20046,""
2019-09-01,Santa Rosa,Residentes,19604,""
2019-09-01,Santa Rosa,No residentes,442,""
2019-09-01,Santiago del Estero,Total,22411,""
2019-09-01,Santiago del Estero,Residentes,21369,""
2019-09-01,Santiago del Estero,No residentes,1042,""
2019-09-01,Tandil,Total,28806,""
2019-09-01,Tandil,Residentes,28423,""
2019-09-01,Tandil,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-09-01,Termas,Total,87497,""
2019-09-01,Termas,Residentes,87326,""
2019-09-01,Termas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-09-01,Tucumán,Total,48762,""
2019-09-01,Tucumán,Residentes,45201,""
2019-09-01,Tucumán,No residentes,3561,""
2019-09-01,Ushuaia,Total,77179,""
2019-09-01,Ushuaia,Residentes,54531,""
2019-09-01,Ushuaia,No residentes,22648,""
2019-09-01,Valle de Uco,Total,23703,""
2019-09-01,Valle de Uco,Residentes,17253,""
2019-09-01,Valle de Uco,No residentes,6450,""
2019-09-01,Viedma,Total,4297,""
2019-09-01,Viedma,Residentes,4281,""
2019-09-01,Viedma,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-09-01,Villa General Belgrano,Total,23599,""
2019-09-01,Villa General Belgrano,Residentes,23358,""
2019-09-01,Villa General Belgrano,No residentes,241,""
2019-09-01,Villa Gesell,Total,13170,""
2019-09-01,Villa Gesell,Residentes,13105,""
2019-09-01,Villa Gesell,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-10-01,Bahía Blanca,Total,17558,""
2019-10-01,Bahía Blanca,Residentes,16246,""
2019-10-01,Bahía Blanca,No residentes,1312,""
2019-10-01,Bariloche,Total,207215,""
2019-10-01,Bariloche,Residentes,176913,""
2019-10-01,Bariloche,No residentes,30302,""
2019-10-01,CABA,Total,957088,""
2019-10-01,CABA,Residentes,469948,""
2019-10-01,CABA,No residentes,487140,""
2019-10-01,Cafayate,Total,16559,""
2019-10-01,Cafayate,Residentes,12512,""
2019-10-01,Cafayate,No residentes,4047,""
2019-10-01,Calafate,Total,99444,""
2019-10-01,Calafate,Residentes,46428,""
2019-10-01,Calafate,No residentes,53016,""
2019-10-01,Carlos Paz,Total,159438,""
2019-10-01,Carlos Paz,Residentes,155962,""
2019-10-01,Carlos Paz,No residentes,3476,""
2019-10-01,Catamarca,Total,14518,""
2019-10-01,Catamarca,Residentes,14281,""
2019-10-01,Catamarca,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-10-01,Corrientes,Total,21172,""
2019-10-01,Corrientes,Residentes,18446,""
2019-10-01,Corrientes,No residentes,2726,""
2019-10-01,Córdoba,Total,72590,""
2019-10-01,Córdoba,Residentes,60638,""
2019-10-01,Córdoba,No residentes,11952,""
2019-10-01,Formosa,Total,10774,""
2019-10-01,Formosa,Residentes,9254,""
2019-10-01,Formosa,No residentes,1520,""
2019-10-01,Gualeguaychú,Total,15342,""
2019-10-01,Gualeguaychú,Residentes,13962,""
2019-10-01,Gualeguaychú,No residentes,1380,""
2019-10-01,Jujuy,Total,21752,""
2019-10-01,Jujuy,Residentes,19727,""
2019-10-01,Jujuy,No residentes,2025,""
2019-10-01,La Angostura,Total,11637,""
2019-10-01,La Angostura,Residentes,10094,""
2019-10-01,La Angostura,No residentes,1543,""
2019-10-01,La Falda,Total,27598,""
2019-10-01,La Falda,Residentes,27597,""
2019-10-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-10-01,La Rioja,Total,13199,""
2019-10-01,La Rioja,Residentes,12880,""
2019-10-01,La Rioja,No residentes,319,""
2019-10-01,Las Grutas,Total,5899,""
2019-10-01,Las Grutas,Residentes,5796,""
2019-10-01,Las Grutas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-10-01,Malargue-Las Leñas,Total,4531,""
2019-10-01,Malargue-Las Leñas,Residentes,4166,""
2019-10-01,Malargue-Las Leñas,No residentes,365,""
2019-10-01,Mar Chiquita,Total,11284,""
2019-10-01,Mar Chiquita,Residentes,11283,""
2019-10-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-10-01,Mar del Plata,Total,279415,""
2019-10-01,Mar del Plata,Residentes,278000,""
2019-10-01,Mar del Plata,No residentes,1415,""
2019-10-01,Mendoza,Total,139539,""
2019-10-01,Mendoza,Residentes,77158,""
2019-10-01,Mendoza,No residentes,62381,""
2019-10-01,Merlo,Total,41204,""
2019-10-01,Merlo,Residentes,40987,""
2019-10-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-10-01,Mina Clavero,Total,17980,""
2019-10-01,Mina Clavero,Residentes,17976,""
2019-10-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-10-01,Neuquén,Total,41417,""
2019-10-01,Neuquén,Residentes,37985,""
2019-10-01,Neuquén,No residentes,3432,""
2019-10-01,Paraná,Total,14719,""
2019-10-01,Paraná,Residentes,14367,""
2019-10-01,Paraná,No residentes,352,""
2019-10-01,Pinamar,Total,36369,""
2019-10-01,Pinamar,Residentes,36356,""
2019-10-01,Pinamar,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-10-01,Posadas,Total,29447,""
2019-10-01,Posadas,Residentes,23489,""
2019-10-01,Posadas,No residentes,5958,""
2019-10-01,Puerto Iguazú,Total,116423,""
2019-10-01,Puerto Iguazú,Residentes,74696,""
2019-10-01,Puerto Iguazú,No residentes,41727,""
2019-10-01,Puerto Madryn,Total,50439,""
2019-10-01,Puerto Madryn,Residentes,44121,""
2019-10-01,Puerto Madryn,No residentes,6318,""
2019-10-01,Rafaela,Total,5633,""
2019-10-01,Rafaela,Residentes,5451,""
2019-10-01,Rafaela,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-10-01,Resistencia,Total,22122,""
2019-10-01,Resistencia,Residentes,21152,""
2019-10-01,Resistencia,No residentes,970,""
2019-10-01,Rio Gallegos,Total,13402,""
2019-10-01,Rio Gallegos,Residentes,12407,""
2019-10-01,Rio Gallegos,No residentes,995,""
2019-10-01,Rosario,Total,77569,""
2019-10-01,Rosario,Residentes,67972,""
2019-10-01,Rosario,No residentes,9597,""
2019-10-01,Río Cuarto,Total,15763,""
2019-10-01,Río Cuarto,Residentes,15437,""
2019-10-01,Río Cuarto,No residentes,326,""
2019-10-01,Salta,Total,126836,""
2019-10-01,Salta,Residentes,107423,""
2019-10-01,Salta,No residentes,19413,""
2019-10-01,San Juan,Total,26729,""
2019-10-01,San Juan,Residentes,24222,""
2019-10-01,San Juan,No residentes,2507,""
2019-10-01,San Luis,Total,23999,""
2019-10-01,San Luis,Residentes,23233,""
2019-10-01,San Luis,No residentes,766,""
2019-10-01,San Martín de los Andes,Total,34347,""
2019-10-01,San Martín de los Andes,Residentes,27496,""
2019-10-01,San Martín de los Andes,No residentes,6851,""
2019-10-01,San Rafael,Total,36859,""
2019-10-01,San Rafael,Residentes,36426,""
2019-10-01,San Rafael,No residentes,433,""
2019-10-01,Santa Fe,Total,23551,""
2019-10-01,Santa Fe,Residentes,22130,""
2019-10-01,Santa Fe,No residentes,1421,""
2019-10-01,Santa Rosa,Total,16982,""
2019-10-01,Santa Rosa,Residentes,16764,""
2019-10-01,Santa Rosa,No residentes,218,""
2019-10-01,Santiago del Estero,Total,18814,""
2019-10-01,Santiago del Estero,Residentes,18440,""
2019-10-01,Santiago del Estero,No residentes,374,""
2019-10-01,Tandil,Total,36660,""
2019-10-01,Tandil,Residentes,36356,""
2019-10-01,Tandil,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-10-01,Termas,Total,50440,""
2019-10-01,Termas,Residentes,49941,""
2019-10-01,Termas,No residentes,499,""
2019-10-01,Tucumán,Total,46509,""
2019-10-01,Tucumán,Residentes,44169,""
2019-10-01,Tucumán,No residentes,2340,""
2019-10-01,Ushuaia,Total,70458,""
2019-10-01,Ushuaia,Residentes,40214,""
2019-10-01,Ushuaia,No residentes,30244,""
2019-10-01,Valle de Uco,Total,21674,""
2019-10-01,Valle de Uco,Residentes,13426,""
2019-10-01,Valle de Uco,No residentes,8248,""
2019-10-01,Viedma,Total,4114,""
2019-10-01,Viedma,Residentes,4049,""
2019-10-01,Viedma,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-10-01,Villa General Belgrano,Total,34915,""
2019-10-01,Villa General Belgrano,Residentes,34553,""
2019-10-01,Villa General Belgrano,No residentes,362,""
2019-10-01,Villa Gesell,Total,19742,""
2019-10-01,Villa Gesell,Residentes,19732,""
2019-10-01,Villa Gesell,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-11-01,Bahía Blanca,Total,16703,""
2019-11-01,Bahía Blanca,Residentes,14998,""
2019-11-01,Bahía Blanca,No residentes,1705,""
2019-11-01,Bariloche,Total,143574,""
2019-11-01,Bariloche,Residentes,103041,""
2019-11-01,Bariloche,No residentes,40533,""
2019-11-01,CABA,Total,988620,""
2019-11-01,CABA,Residentes,457848,""
2019-11-01,CABA,No residentes,530772,""
2019-11-01,Cafayate,Total,13252,""
2019-11-01,Cafayate,Residentes,9903,""
2019-11-01,Cafayate,No residentes,3349,""
2019-11-01,Calafate,Total,120583,""
2019-11-01,Calafate,Residentes,42514,""
2019-11-01,Calafate,No residentes,78069,""
2019-11-01,Carlos Paz,Total,167032,""
2019-11-01,Carlos Paz,Residentes,166610,""
2019-11-01,Carlos Paz,No residentes,422,""
2019-11-01,Catamarca,Total,13044,""
2019-11-01,Catamarca,Residentes,12795,""
2019-11-01,Catamarca,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-11-01,Corrientes,Total,21650,""
2019-11-01,Corrientes,Residentes,18981,""
2019-11-01,Corrientes,No residentes,2669,""
2019-11-01,Córdoba,Total,79385,""
2019-11-01,Córdoba,Residentes,65619,""
2019-11-01,Córdoba,No residentes,13766,""
2019-11-01,Formosa,Total,11655,""
2019-11-01,Formosa,Residentes,9848,""
2019-11-01,Formosa,No residentes,1807,""
2019-11-01,Gualeguaychú,Total,17243,""
2019-11-01,Gualeguaychú,Residentes,15817,""
2019-11-01,Gualeguaychú,No residentes,1426,""
2019-11-01,Jujuy,Total,17780,""
2019-11-01,Jujuy,Residentes,15744,""
2019-11-01,Jujuy,No residentes,2036,""
2019-11-01,La Angostura,Total,19935,""
2019-11-01,La Angostura,Residentes,15520,""
2019-11-01,La Angostura,No residentes,4415,""
2019-11-01,La Falda,Total,27870,""
2019-11-01,La Falda,Residentes,27626,""
2019-11-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-11-01,La Rioja,Total,9379,""
2019-11-01,La Rioja,Residentes,8934,""
2019-11-01,La Rioja,No residentes,445,""
2019-11-01,Las Grutas,Total,8213,""
2019-11-01,Las Grutas,Residentes,8121,""
2019-11-01,Las Grutas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-11-01,Malargue-Las Leñas,Total,5514,""
2019-11-01,Malargue-Las Leñas,Residentes,4214,""
2019-11-01,Malargue-Las Leñas,No residentes,1300,""
2019-11-01,Mar Chiquita,Total,11865,""
2019-11-01,Mar Chiquita,Residentes,11858,""
2019-11-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-11-01,Mar del Plata,Total,333038,""
2019-11-01,Mar del Plata,Residentes,325634,""
2019-11-01,Mar del Plata,No residentes,7404,""
2019-11-01,Mendoza,Total,136155,""
2019-11-01,Mendoza,Residentes,77084,""
2019-11-01,Mendoza,No residentes,59071,""
2019-11-01,Merlo,Total,53646,""
2019-11-01,Merlo,Residentes,53589,""
2019-11-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-11-01,Mina Clavero,Total,19399,""
2019-11-01,Mina Clavero,Residentes,19399,""
2019-11-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-11-01,Neuquén,Total,40905,""
2019-11-01,Neuquén,Residentes,37454,""
2019-11-01,Neuquén,No residentes,3451,""
2019-11-01,Paraná,Total,19033,""
2019-11-01,Paraná,Residentes,18641,""
2019-11-01,Paraná,No residentes,392,""
2019-11-01,Pinamar,Total,61249,""
2019-11-01,Pinamar,Residentes,61050,""
2019-11-01,Pinamar,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-11-01,Posadas,Total,30289,""
2019-11-01,Posadas,Residentes,24193,""
2019-11-01,Posadas,No residentes,6096,""
2019-11-01,Puerto Iguazú,Total,122064,""
2019-11-01,Puerto Iguazú,Residentes,68302,""
2019-11-01,Puerto Iguazú,No residentes,53762,""
2019-11-01,Puerto Madryn,Total,38297,""
2019-11-01,Puerto Madryn,Residentes,29460,""
2019-11-01,Puerto Madryn,No residentes,8837,""
2019-11-01,Rafaela,Total,5452,""
2019-11-01,Rafaela,Residentes,5249,""
2019-11-01,Rafaela,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-11-01,Resistencia,Total,23901,""
2019-11-01,Resistencia,Residentes,22890,""
2019-11-01,Resistencia,No residentes,1011,""
2019-11-01,Rio Gallegos,Total,11634,""
2019-11-01,Rio Gallegos,Residentes,10506,""
2019-11-01,Rio Gallegos,No residentes,1128,""
2019-11-01,Rosario,Total,81933,""
2019-11-01,Rosario,Residentes,72167,""
2019-11-01,Rosario,No residentes,9766,""
2019-11-01,Río Cuarto,Total,16285,""
2019-11-01,Río Cuarto,Residentes,15924,""
2019-11-01,Río Cuarto,No residentes,361,""
2019-11-01,Salta,Total,124165,""
2019-11-01,Salta,Residentes,97882,""
2019-11-01,Salta,No residentes,26283,""
2019-11-01,San Juan,Total,28862,""
2019-11-01,San Juan,Residentes,23630,""
2019-11-01,San Juan,No residentes,5232,""
2019-11-01,San Luis,Total,20571,""
2019-11-01,San Luis,Residentes,19848,""
2019-11-01,San Luis,No residentes,723,""
2019-11-01,San Martín de los Andes,Total,44385,""
2019-11-01,San Martín de los Andes,Residentes,38216,""
2019-11-01,San Martín de los Andes,No residentes,6169,""
2019-11-01,San Rafael,Total,40786,""
2019-11-01,San Rafael,Residentes,40307,""
2019-11-01,San Rafael,No residentes,479,""
2019-11-01,Santa Fe,Total,24309,""
2019-11-01,Santa Fe,Residentes,22216,""
2019-11-01,Santa Fe,No residentes,2093,""
2019-11-01,Santa Rosa,Total,20788,""
2019-11-01,Santa Rosa,Residentes,20044,""
2019-11-01,Santa Rosa,No residentes,744,""
2019-11-01,Santiago del Estero,Total,18442,""
2019-11-01,Santiago del Estero,Residentes,18034,""
2019-11-01,Santiago del Estero,No residentes,408,""
2019-11-01,Tandil,Total,40176,""
2019-11-01,Tandil,Residentes,39872,""
2019-11-01,Tandil,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-11-01,Termas,Total,26892,""
2019-11-01,Termas,Residentes,26671,""
2019-11-01,Termas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-11-01,Tucumán,Total,43104,""
2019-11-01,Tucumán,Residentes,38355,""
2019-11-01,Tucumán,No residentes,4749,""
2019-11-01,Ushuaia,Total,77990,""
2019-11-01,Ushuaia,Residentes,32110,""
2019-11-01,Ushuaia,No residentes,45880,""
2019-11-01,Valle de Uco,Total,25993,""
2019-11-01,Valle de Uco,Residentes,18339,""
2019-11-01,Valle de Uco,No residentes,7654,""
2019-11-01,Viedma,Total,6325,""
2019-11-01,Viedma,Residentes,6286,""
2019-11-01,Viedma,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-11-01,Villa General Belgrano,Total,28101,""
2019-11-01,Villa General Belgrano,Residentes,27340,""
2019-11-01,Villa General Belgrano,No residentes,761,""
2019-11-01,Villa Gesell,Total,36527,""
2019-11-01,Villa Gesell,Residentes,36501,""
2019-11-01,Villa Gesell,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-12-01,Bahía Blanca,Total,13225,""
2019-12-01,Bahía Blanca,Residentes,11588,""
2019-12-01,Bahía Blanca,No residentes,1637,""
2019-12-01,Bariloche,Total,233797,""
2019-12-01,Bariloche,Residentes,163667,""
2019-12-01,Bariloche,No residentes,70130,""
2019-12-01,CABA,Total,947537,""
2019-12-01,CABA,Residentes,399292,""
2019-12-01,CABA,No residentes,548245,""
2019-12-01,Cafayate,Total,11552,""
2019-12-01,Cafayate,Residentes,8022,""
2019-12-01,Cafayate,No residentes,3530,""
2019-12-01,Calafate,Total,116538,""
2019-12-01,Calafate,Residentes,39213,""
2019-12-01,Calafate,No residentes,77325,""
2019-12-01,Carlos Paz,Total,151837,""
2019-12-01,Carlos Paz,Residentes,151736,""
2019-12-01,Carlos Paz,No residentes,101,""
2019-12-01,Catamarca,Total,9464,""
2019-12-01,Catamarca,Residentes,9235,""
2019-12-01,Catamarca,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-12-01,Corrientes,Total,23087,""
2019-12-01,Corrientes,Residentes,19289,""
2019-12-01,Corrientes,No residentes,3798,""
2019-12-01,Córdoba,Total,68016,""
2019-12-01,Córdoba,Residentes,57018,""
2019-12-01,Córdoba,No residentes,10998,""
2019-12-01,Formosa,Total,10535,""
2019-12-01,Formosa,Residentes,8616,""
2019-12-01,Formosa,No residentes,1919,""
2019-12-01,Gualeguaychú,Total,18593,""
2019-12-01,Gualeguaychú,Residentes,17269,""
2019-12-01,Gualeguaychú,No residentes,1324,""
2019-12-01,Jujuy,Total,14198,""
2019-12-01,Jujuy,Residentes,11909,""
2019-12-01,Jujuy,No residentes,2289,""
2019-12-01,La Angostura,Total,20513,""
2019-12-01,La Angostura,Residentes,15606,""
2019-12-01,La Angostura,No residentes,4907,""
2019-12-01,La Falda,Total,26939,""
2019-12-01,La Falda,Residentes,26937,""
2019-12-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-12-01,La Rioja,Total,6932,""
2019-12-01,La Rioja,Residentes,6555,""
2019-12-01,La Rioja,No residentes,377,""
2019-12-01,Las Grutas,Total,16976,""
2019-12-01,Las Grutas,Residentes,16584,""
2019-12-01,Las Grutas,No residentes,392,""
2019-12-01,Malargue-Las Leñas,Total,3287,""
2019-12-01,Malargue-Las Leñas,Residentes,2780,""
2019-12-01,Malargue-Las Leñas,No residentes,507,""
2019-12-01,Mar Chiquita,Total,11718,""
2019-12-01,Mar Chiquita,Residentes,11718,""
2019-12-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-12-01,Mar del Plata,Total,345737,""
2019-12-01,Mar del Plata,Residentes,340683,""
2019-12-01,Mar del Plata,No residentes,5054,""
2019-12-01,Mendoza,Total,101586,""
2019-12-01,Mendoza,Residentes,57247,""
2019-12-01,Mendoza,No residentes,44339,""
2019-12-01,Merlo,Total,43109,""
2019-12-01,Merlo,Residentes,42996,""
2019-12-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-12-01,Mina Clavero,Total,27694,""
2019-12-01,Mina Clavero,Residentes,27691,""
2019-12-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-12-01,Neuquén,Total,37423,""
2019-12-01,Neuquén,Residentes,34362,""
2019-12-01,Neuquén,No residentes,3061,""
2019-12-01,Paraná,Total,15275,""
2019-12-01,Paraná,Residentes,14954,""
2019-12-01,Paraná,No residentes,321,""
2019-12-01,Pinamar,Total,107872,""
2019-12-01,Pinamar,Residentes,107515,""
2019-12-01,Pinamar,No residentes,357,""
2019-12-01,Posadas,Total,27523,""
2019-12-01,Posadas,Residentes,21749,""
2019-12-01,Posadas,No residentes,5774,""
2019-12-01,Puerto Iguazú,Total,125158,""
2019-12-01,Puerto Iguazú,Residentes,63138,""
2019-12-01,Puerto Iguazú,No residentes,62020,""
2019-12-01,Puerto Madryn,Total,24595,""
2019-12-01,Puerto Madryn,Residentes,19024,""
2019-12-01,Puerto Madryn,No residentes,5571,""
2019-12-01,Rafaela,Total,4174,""
2019-12-01,Rafaela,Residentes,4081,""
2019-12-01,Rafaela,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-12-01,Resistencia,Total,20834,""
2019-12-01,Resistencia,Residentes,19369,""
2019-12-01,Resistencia,No residentes,1465,""
2019-12-01,Rio Gallegos,Total,11934,""
2019-12-01,Rio Gallegos,Residentes,10679,""
2019-12-01,Rio Gallegos,No residentes,1255,""
2019-12-01,Rosario,Total,62603,""
2019-12-01,Rosario,Residentes,53799,""
2019-12-01,Rosario,No residentes,8804,""
2019-12-01,Río Cuarto,Total,13932,""
2019-12-01,Río Cuarto,Residentes,13608,""
2019-12-01,Río Cuarto,No residentes,324,""
2019-12-01,Salta,Total,77498,""
2019-12-01,Salta,Residentes,58830,""
2019-12-01,Salta,No residentes,18668,""
2019-12-01,San Juan,Total,21530,""
2019-12-01,San Juan,Residentes,18366,""
2019-12-01,San Juan,No residentes,3164,""
2019-12-01,San Luis,Total,19440,""
2019-12-01,San Luis,Residentes,18660,""
2019-12-01,San Luis,No residentes,780,""
2019-12-01,San Martín de los Andes,Total,44519,""
2019-12-01,San Martín de los Andes,Residentes,37638,""
2019-12-01,San Martín de los Andes,No residentes,6881,""
2019-12-01,San Rafael,Total,30575,""
2019-12-01,San Rafael,Residentes,30024,""
2019-12-01,San Rafael,No residentes,551,""
2019-12-01,Santa Fe,Total,20632,""
2019-12-01,Santa Fe,Residentes,19045,""
2019-12-01,Santa Fe,No residentes,1587,""
2019-12-01,Santa Rosa,Total,19416,""
2019-12-01,Santa Rosa,Residentes,19006,""
2019-12-01,Santa Rosa,No residentes,410,""
2019-12-01,Santiago del Estero,Total,16299,""
2019-12-01,Santiago del Estero,Residentes,15914,""
2019-12-01,Santiago del Estero,No residentes,385,""
2019-12-01,Tandil,Total,31127,""
2019-12-01,Tandil,Residentes,30759,""
2019-12-01,Tandil,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-12-01,Termas,Total,11510,""
2019-12-01,Termas,Residentes,11406,""
2019-12-01,Termas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-12-01,Tucumán,Total,38182,""
2019-12-01,Tucumán,Residentes,36428,""
2019-12-01,Tucumán,No residentes,1754,""
2019-12-01,Ushuaia,Total,78201,""
2019-12-01,Ushuaia,Residentes,33568,""
2019-12-01,Ushuaia,No residentes,44633,""
2019-12-01,Valle de Uco,Total,34374,""
2019-12-01,Valle de Uco,Residentes,25629,""
2019-12-01,Valle de Uco,No residentes,8745,""
2019-12-01,Viedma,Total,4754,""
2019-12-01,Viedma,Residentes,4615,""
2019-12-01,Viedma,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2019-12-01,Villa General Belgrano,Total,32297,""
2019-12-01,Villa General Belgrano,Residentes,31932,""
2019-12-01,Villa General Belgrano,No residentes,365,""
2019-12-01,Villa Gesell,Total,115729,""
2019-12-01,Villa Gesell,Residentes,115577,""
2019-12-01,Villa Gesell,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2020-01-01,Bahía Blanca,Total,15359,""
2020-01-01,Bahía Blanca,Residentes,14354,""
2020-01-01,Bahía Blanca,No residentes,1005,""
2020-01-01,Bariloche,Total,293595,""
2020-01-01,Bariloche,Residentes,221650,""
2020-01-01,Bariloche,No residentes,71945,""
2020-01-01,CABA,Total,833639,""
2020-01-01,CABA,Residentes,335204,""
2020-01-01,CABA,No residentes,498435,""
2020-01-01,Cafayate,Total,24809,""
2020-01-01,Cafayate,Residentes,20507,""
2020-01-01,Cafayate,No residentes,4302,""
2020-01-01,Calafate,Total,152093,""
2020-01-01,Calafate,Residentes,66255,""
2020-01-01,Calafate,No residentes,85838,""
2020-01-01,Carlos Paz,Total,319627,""
2020-01-01,Carlos Paz,Residentes,318470,""
2020-01-01,Carlos Paz,No residentes,1157,""
