indice_tiempo,localidad,origen_viajeros,viajeros,observaciones
2018-04-01,Bahía Blanca,Total,10458,""
2018-04-01,Bahía Blanca,Residentes,10019,""
2018-04-01,Bahía Blanca,No residentes,439,""
2018-04-01,Bariloche,Total,39232,""
2018-04-01,Bariloche,Residentes,29390,""
2018-04-01,Bariloche,No residentes,9842,""
2018-04-01,CABA,Total,414074,""
2018-04-01,CABA,Residentes,230893,""
2018-04-01,CABA,No residentes,183181,""
2018-04-01,Cafayate,Total,9389,""
2018-04-01,Cafayate,Residentes,7850,""
2018-04-01,Cafayate,No residentes,1539,""
2018-04-01,Calafate,Total,28127,""
2018-04-01,Calafate,Residentes,15372,""
2018-04-01,Calafate,No residentes,12755,""
2018-04-01,Carlos Paz,Total,30475,""
2018-04-01,Carlos Paz,Residentes,29235,""
2018-04-01,Carlos Paz,No residentes,1240,""
2018-04-01,Catamarca,Total,8460,""
2018-04-01,Catamarca,Residentes,8359,""
2018-04-01,Catamarca,No residentes,101,""
2018-04-01,Corrientes,Total,10163,""
2018-04-01,Corrientes,Residentes,8821,""
2018-04-01,Corrientes,No residentes,1342,""
2018-04-01,Córdoba,Total,34287,""
2018-04-01,Córdoba,Residentes,28191,""
2018-04-01,Córdoba,No residentes,6096,""
2018-04-01,Formosa,Total,10312,""
2018-04-01,Formosa,Residentes,9170,""
2018-04-01,Formosa,No residentes,1142,""
2018-04-01,Gualeguaychú,Total,5622,""
2018-04-01,Gualeguaychú,Residentes,5384,""
2018-04-01,Gualeguaychú,No residentes,238,""
2018-04-01,Jujuy,Total,13917,""
2018-04-01,Jujuy,Residentes,12124,""
2018-04-01,Jujuy,No residentes,1793,""
2018-04-01,La Angostura,Total,6976,""
2018-04-01,La Angostura,Residentes,6100,""
2018-04-01,La Angostura,No residentes,876,""
2018-04-01,La Falda,Total,7466,""
2018-04-01,La Falda,Residentes,7464,""
2018-04-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,La Rioja,Total,6294,""
2018-04-01,La Rioja,Residentes,6123,""
2018-04-01,La Rioja,No residentes,171,""
2018-04-01,Las Grutas,Total,1940,""
2018-04-01,Las Grutas,Residentes,1920,""
2018-04-01,Las Grutas,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,Malargue-Las Leñas,Total,2180,""
2018-04-01,Malargue-Las Leñas,Residentes,2012,""
2018-04-01,Malargue-Las Leñas,No residentes,168,""
2018-04-01,Mar Chiquita,Total,5217,""
2018-04-01,Mar Chiquita,Residentes,5213,""
2018-04-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,Mar del Plata,Total,62789,""
2018-04-01,Mar del Plata,Residentes,62173,""
2018-04-01,Mar del Plata,No residentes,616,""
2018-04-01,Mendoza,Total,52226,""
2018-04-01,Mendoza,Residentes,29913,""
2018-04-01,Mendoza,No residentes,22313,""
2018-04-01,Merlo,Total,11786,""
2018-04-01,Merlo,Residentes,11746,""
2018-04-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,Mina Clavero,Total,5743,""
2018-04-01,Mina Clavero,Residentes,5743,""
2018-04-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,Neuquén,Total,20531,""
2018-04-01,Neuquén,Residentes,18932,""
2018-04-01,Neuquén,No residentes,1599,""
2018-04-01,Paraná,Total,8051,""
2018-04-01,Paraná,Residentes,7902,""
2018-04-01,Paraná,No residentes,149,""
2018-04-01,Pinamar,Total,15918,""
2018-04-01,Pinamar,Residentes,15904,""
2018-04-01,Pinamar,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-04-01,Posadas,Total,14150,""
2018-04-01,Posadas,Residentes,11396,""
2018-04-01,Posadas,No residentes,2754,""
2018-04-01,Puerto Iguazú,Total,38531,""
2018-04-01,Puerto Iguazú,Residentes,24322,""
2018-04-01,Puerto Iguazú,No residentes,14209,""
2018-04-01,Puerto Madryn,Total,8230,""
2018-04-01,Puerto Madryn,Residentes,7855,""
2018-04-01,Puerto Madryn,No residentes,375,""
2018-04-01,Rafaela,Total,7157,""
2018-04-01,Rafaela,Residentes,7045,""
2018-04-01,Rafaela,No residentes,112,""
2018-04-01,Resistencia,Total,17969,""
2018-04-01,Resistencia,Residentes,17005,""
2018-04-01,Resistencia,No residentes,964,""
2018-04-01,Rio Gallegos,Total,8387,""
2018-04-01,Rio Gallegos,Residentes,7929,""
2018-04-01,Rio Gallegos,No residentes,458,""
2018-04-01,Rosario,Total,41491,""
2018-04-01,Rosario,Residentes,37924,""
2018-04-01,Rosario,No residentes,3567,""
2018-04-01,Río Cuarto,Total,10055,""
2018-04-01,Río Cuarto,Residentes,9891,""
2018-04-01,Río Cuarto,No residentes,164,""
2018-04-01,Salta,Total,53333,""
2018-04-01,Salta,Residentes,43529,""
2018-04-01,Salta,No residentes,9804,""
2018-04-01,San Juan,Total,11220,""
2018-04-01,San Juan,Residentes,9338,""
2018-04-01,San Juan,No residentes,1882,""
2018-04-01,San Luis,Total,11601,""
2018-04-01,San Luis,Residentes,11191,""
2018-04-01,San Luis,No residentes,410,""
2018-04-01,San Martín de los Andes,Total,9701,""
2018-04-01,San Martín de los Andes,Residentes,8588,""
2018-04-01,San Martín de los Andes,No residentes,1113,""
2018-04-01,San Rafael,Total,9162,""
2018-04-01,San Rafael,Residentes,8755,""
2018-04-01,San Rafael,No residentes,407,""
2018-04-01,Santa Fe,Total,13776,""
2018-04-01,Santa Fe,Residentes,12662,""
2018-04-01,Santa Fe,No residentes,1114,""
2018-04-01,Santa Rosa,Total,11456,""
2018-04-01,Santa Rosa,Residentes,11280,""
2018-04-01,Santa Rosa,No residentes,176,""
2018-04-01,Santiago del Estero,Total,11110,""
2018-04-01,Santiago del Estero,Residentes,10709,""
2018-04-01,Santiago del Estero,No residentes,401,""
2018-04-01,Tandil,Total,15556,""
2018-04-01,Tandil,Residentes,15420,""
2018-04-01,Tandil,No residentes,136,""
2018-04-01,Termas,Total,18952,""
2018-04-01,Termas,Residentes,16650,""
2018-04-01,Termas,No residentes,2302,""
2018-04-01,Tucumán,Total,29213,""
2018-04-01,Tucumán,Residentes,27375,""
2018-04-01,Tucumán,No residentes,1838,""
