indice_tiempo,region_de_destino,origen_pernoctes,pernoctes,observaciones
2008-09-01,Buenos Aires,No residentes,7312,""
2008-09-01,CABA,Residentes,429867,""
2008-09-01,CABA,No residentes,467301,""
2008-09-01,Cuyo,Residentes,255697,""
2008-09-01,Cuyo,No residentes,41380,""
2008-09-01,Córdoba,Residentes,299400,""
2008-09-01,Córdoba,No residentes,14639,""
2008-09-01,Litoral,Residentes,369048,""
2008-09-01,Litoral,No residentes,41787,""
2008-09-01,Norte,Residentes,312466,""
2008-09-01,Norte,No residentes,25529,""
2008-09-01,Patagonia,Residentes,530115,""
2008-09-01,Patagonia,No residentes,180746,""
2008-10-01,Buenos Aires,Residentes,398042,""
2008-10-01,Buenos Aires,No residentes,8187,""
2008-10-01,CABA,Residentes,435299,""
2008-10-01,CABA,No residentes,495438,""
2008-10-01,Cuyo,Residentes,268229,""
2008-10-01,Cuyo,No residentes,41065,""
2008-10-01,Córdoba,Residentes,379963,""
2008-10-01,Córdoba,No residentes,15232,""
2008-10-01,Litoral,Residentes,383212,""
2008-10-01,Litoral,No residentes,67378,""
2008-10-01,Norte,Residentes,233374,""
2008-10-01,Norte,No residentes,30420,""
2008-10-01,Patagonia,Residentes,452965,""
2008-10-01,Patagonia,No residentes,194719,""
2008-11-01,Buenos Aires,Residentes,588615,""
2008-11-01,Buenos Aires,No residentes,10391,""
2008-11-01,CABA,Residentes,401758,""
2008-11-01,CABA,No residentes,501124,""
2008-11-01,Cuyo,Residentes,246412,""
2008-11-01,Cuyo,No residentes,33297,""
2008-11-01,Córdoba,Residentes,358881,""
2008-11-01,Córdoba,No residentes,13550,""
2008-11-01,Litoral,Residentes,364537,""
2008-11-01,Litoral,No residentes,52874,""
2008-11-01,Norte,Residentes,174108,""
2008-11-01,Norte,No residentes,40143,""
2008-11-01,Patagonia,Residentes,306734,""
2008-11-01,Patagonia,No residentes,281868,""
2008-12-01,Buenos Aires,Residentes,685179,""
2008-12-01,Buenos Aires,No residentes,13152,""
2008-12-01,CABA,Residentes,313527,""
2008-12-01,CABA,No residentes,459099,""
2008-12-01,Cuyo,Residentes,192424,""
2008-12-01,Cuyo,No residentes,40791,""
2008-12-01,Córdoba,Residentes,395704,""
2008-12-01,Córdoba,No residentes,13808,""
2008-12-01,Litoral,Residentes,318250,""
2008-12-01,Litoral,No residentes,54827,""
2008-12-01,Norte,Residentes,146054,""
2008-12-01,Norte,No residentes,31318,""
2008-12-01,Patagonia,Residentes,363863,""
2008-12-01,Patagonia,No residentes,276374,""
2009-01-01,Buenos Aires,Residentes,1612560,""
2009-01-01,Buenos Aires,No residentes,15582,""
2009-01-01,CABA,Residentes,256572,""
2009-01-01,CABA,No residentes,432178,""
2009-01-01,Cuyo,Residentes,341050,""
2009-01-01,Cuyo,No residentes,60629,""
2009-01-01,Córdoba,Residentes,1016575,""
2009-01-01,Córdoba,No residentes,22998,""
2009-01-01,Litoral,Residentes,469404,""
2009-01-01,Litoral,No residentes,63132,""
2009-01-01,Norte,Residentes,231430,""
2009-01-01,Norte,No residentes,41406,""
2009-01-01,Patagonia,Residentes,743114,""
2009-01-01,Patagonia,No residentes,334595,""
2009-02-01,Buenos Aires,Residentes,1371056,""
2009-02-01,Buenos Aires,No residentes,14004,""
2009-02-01,CABA,Residentes,262421,""
2009-02-01,CABA,No residentes,399680,""
2009-02-01,Cuyo,Residentes,303528,""
2009-02-01,Cuyo,No residentes,58170,""
2009-02-01,Córdoba,Residentes,890301,""
2009-02-01,Córdoba,No residentes,20845,""
2009-02-01,Litoral,Residentes,444977,""
2009-02-01,Litoral,No residentes,58870,""
2009-02-01,Norte,Residentes,195483,""
2009-02-01,Norte,No residentes,37836,""
2009-02-01,Patagonia,Residentes,540776,""
2009-02-01,Patagonia,No residentes,283795,""
2009-03-01,Buenos Aires,Residentes,601623,""
2009-03-01,Buenos Aires,No residentes,8091,""
2009-03-01,CABA,Residentes,333038,""
2009-03-01,CABA,No residentes,412572,""
2009-03-01,Cuyo,Residentes,292441,""
2009-03-01,Cuyo,No residentes,56432,""
2009-03-01,Córdoba,Residentes,479285,""
2009-03-01,Córdoba,No residentes,19725,""
2009-03-01,Litoral,Residentes,363048,""
2009-03-01,Litoral,No residentes,44370,""
2009-03-01,Norte,Residentes,169390,""
2009-03-01,Norte,No residentes,41600,""
2009-03-01,Patagonia,Residentes,333510,""
2009-03-01,Patagonia,No residentes,196827,""
2009-04-01,Buenos Aires,Residentes,407913,""
2009-04-01,Buenos Aires,No residentes,4824,""
2009-04-01,CABA,Residentes,336794,""
2009-04-01,CABA,No residentes,425645,""
2009-04-01,Cuyo,Residentes,251558,""
2009-04-01,Cuyo,No residentes,53219,""
2009-04-01,Córdoba,Residentes,399480,""
2009-04-01,Córdoba,No residentes,18613,""
2009-04-01,Litoral,Residentes,346764,""
2009-04-01,Litoral,No residentes,45224,""
2009-04-01,Norte,Residentes,177420,""
2009-04-01,Norte,No residentes,36014,""
2009-04-01,Patagonia,Residentes,310623,""
2009-04-01,Patagonia,No residentes,113853,""
2009-05-01,Buenos Aires,Residentes,247585,""
2009-05-01,Buenos Aires,No residentes,2006,""
2009-05-01,CABA,Residentes,353709,""
2009-05-01,CABA,No residentes,369224,""
2009-05-01,Cuyo,Residentes,223641,""
2009-05-01,Cuyo,No residentes,39909,""
2009-05-01,Córdoba,Residentes,251096,""
2009-05-01,Córdoba,No residentes,15810,""
2009-05-01,Litoral,Residentes,316189,""
2009-05-01,Litoral,No residentes,32188,""
2009-05-01,Norte,Residentes,191714,""
2009-05-01,Norte,No residentes,27619,""
2009-05-01,Patagonia,Residentes,235078,""
2009-05-01,Patagonia,No residentes,62704,""
2009-06-01,Buenos Aires,Residentes,162598,""
2009-06-01,Buenos Aires,No residentes,2535,""
2009-06-01,CABA,Residentes,310022,""
2009-06-01,CABA,No residentes,350406,""
2009-06-01,Cuyo,Residentes,168579,""
2009-06-01,Cuyo,No residentes,24837,""
2009-06-01,Córdoba,Residentes,198216,""
2009-06-01,Córdoba,No residentes,15163,""
2009-06-01,Litoral,Residentes,296087,""
2009-06-01,Litoral,No residentes,26878,""
2009-06-01,Norte,Residentes,193700,""
2009-06-01,Norte,No residentes,23576,""
2009-06-01,Patagonia,Residentes,255708,""
2009-06-01,Patagonia,No residentes,75319,""
2009-07-01,Buenos Aires,Residentes,255051,""
2009-07-01,Buenos Aires,No residentes,1575,""
2009-07-01,CABA,Residentes,274309,""
2009-07-01,CABA,No residentes,242144,""
2009-07-01,Cuyo,Residentes,286896,""
2009-07-01,Cuyo,No residentes,45954,""
2009-07-01,Córdoba,Residentes,366470,""
2009-07-01,Córdoba,No residentes,17311,""
2009-07-01,Litoral,Residentes,313751,""
2009-07-01,Litoral,No residentes,25614,""
2009-07-01,Norte,Residentes,331194,""
2009-07-01,Norte,No residentes,35468,""
2009-07-01,Patagonia,Residentes,460667,""
